geo_id,geo_name,year,component,value,note
state:GA,Georgia,2023,dv_rate,-0.2493959053,z-score within 2023; raw=603.917 (per 100k female population)
state:GA,Georgia,2023,sexual_assault_rate,-0.7549406685,z-score within 2023; raw=38.9909 (per 100k female population)
state:GA,Georgia,2023,firearm_share,1.426496376,z-score within 2023; raw=0.103192 (proportion)
state:GA,Georgia,2023,fem_poverty_rate,0.4805850229,z-score within 2023; raw=0.147 (proportion)
state:GA,Georgia,2023,unemployment_rate,0.5926929609,z-score within 2023; raw=0.044 (proportion)
state:GA,Georgia,2023,gun_deaths_per_100k,0.6609434111,z-score within 2023; raw=20 (per 100k population)
state:GA,Georgia,2024,dv_rate,-0.2724117043,z-score within 2024; raw=600.918 (per 100k female population)
state:GA,Georgia,2024,sexual_assault_rate,-0.6552148913,z-score within 2024; raw=41.8864 (per 100k female population)
state:GA,Georgia,2024,firearm_share,1.249979725,z-score within 2024; raw=0.0924255 (proportion)
state:GA,Georgia,2024,fem_poverty_rate,0.1871901509,z-score within 2024; raw=0.136 (proportion)
state:GA,Georgia,2024,unemployment_rate,0.4771670843,z-score within 2024; raw=0.047 (proportion)
state:GA,Georgia,2024,gun_deaths_per_100k,0.5569788315,z-score within 2024; raw=18.6 (per 100k population)
state:HI,Hawaii,2021,dv_rate,-0.7815906433,z-score within 2021; raw=377.33 (per 100k female population)
state:HI,Hawaii,2021,sexual_assault_rate,-0.2545499079,z-score within 2021; raw=68.1752 (per 100k female population)
state:HI,Hawaii,2021,firearm_share,-1.067660083,z-score within 2021; raw=0.0215378 (proportion)
state:HI,Hawaii,2021,fem_poverty_rate,-0.7478789437,z-score within 2021; raw=0.116 (proportion)
state:HI,Hawaii,2021,unemployment_rate,1.238329544,z-score within 2021; raw=0.077 (proportion)
state:HI,Hawaii,2021,gun_deaths_per_100k,-1.921746035,z-score within 2021; raw=3.4 (per 100k population)
state:HI,Hawaii,2022,dv_rate,-0.7481526869,z-score within 2022; raw=443.181 (per 100k female population)
state:HI,Hawaii,2022,sexual_assault_rate,0.3121329957,z-score within 2022; raw=93.6421 (per 100k female population)
state:HI,Hawaii,2022,firearm_share,-1.354278256,z-score within 2022; raw=0.017262 (proportion)
state:HI,Hawaii,2022,fem_poverty_rate,-0.9648387655,z-score within 2022; raw=0.108 (proportion)
