geo_id,geo_name,geo_type,state,county,tribal_area,year,quarter,month,dv_rate,sexual_assault_rate,firearm_share,dating_partner_share,minority_victim_share,native_american_victim_share,reporting_proxy,risk_index,data_quality_flag
state:NV,Nevada,state,NV,,,2024,,,1416.7255,74.95615026,0.04821930511,0.2849401605,0.4941536039,0.007409294033,2674.934632,1.048236562,ok
state:NH,New Hampshire,state,NH,,,2021,,,478.5603893,104.5535161,0.01381818182,0.2470909091,0.1215355483,0.0006885866758,964.8394946,-0.8674152446,ok
state:NH,New Hampshire,state,NH,,,2022,,,494.9188448,89.95354841,0.02068842518,0.2332798288,0.1352070514,0.001663063363,977.4603603,-1.07541958,ok
state:NH,New Hampshire,state,NH,,,2023,,,443.2901426,44.9338936,0.01516034985,0.2299319728,0.1430643699,0.001269265639,889.1726253,-1.194133642,ok
state:NH,New Hampshire,state,NH,,,2024,,,477.3676437,43.03711176,0.01479343316,0.240303085,0.1454636759,0.0003347840643,954.218842,-1.168046043,ok
state:NJ,New Jersey,state,NJ,,,2021,,,136.5453422,13.66258682,0.02195351021,0.4086640056,0.5849196082,0.002032895953,228.6403037,-0.8741921918,ok
state:NJ,New Jersey,state,NJ,,,2022,,,283.9040628,29.7760232,0.02186981758,0.3503834992,0.555,0.001572580645,517.1540447,-0.8821495984,ok
state:NJ,New Jersey,state,NJ,,,2023,,,340.851322,18.10255337,0.01712197816,0.3376386115,0.5602834574,0.00188538179,628.4362811,-0.9813038281,ok
state:NJ,New Jersey,state,NJ,,,2024,,,361.7223504,21.34070556,0.01634472511,0.318322094,0.5632041135,0.001877635912,684.7548887,-0.9559585977,ok
state:NM,New Mexico,state,NM,,,2021,,,875.9425983,81.25068762,0.1156200564,0.2797991609,0.5072723838,0.1325085002,1750.079626,1.169853943,ok
state:NM,New Mexico,state,NM,,,2022,,,1141.389065,102.3896629,0.1031124596,0.2532054419,0.4827574292,0.1050794748,2430.000433,1.373452419,ok
state:NM,New Mexico,state,NM,,,2023,,,1209.485492,81.34278346,0.1100537857,0.2517813635,0.4853618001,0.09649066735,2575.618004,1.659587347,ok
state:NM,New Mexico,state,NM,,,2024,,,1253.052292,86.32033759,0.09133844235,0.2499108893,0.4840924626,0.1065680731,2632.301164,1.520538237,ok
state:NY,New York,state,NY,,,2021,,,97.51388318,9.301097109,0.03308905174,0.2494448146,0.4227077292,0.003699630037,221.6023295,-0.5834209189,ok
state:NY,New York,state,NY,,,2022,,,163.7967362,12.25387348,0.03837546622,0.2644840448,0.4610580319,0.004052195249,298.0705313,-0.6470213497,ok
