data_year,weapon_name,shr_flag,bias_desc,relationship_name,location_name,offense_name,crime_against,ct_flag,hc_flag,hc_code,offense_category_name,offense_group,race_desc,sort_order,age_code,age_name,activity_type_name,reporting_type,ucr_agency_name,pub_agency_name,state_name,population,male_officer,male_civilian,female_officer,female_civilian,officer_rate,employee_rate,incident_date,incident_hour,ethnicity_name,injury_name,sex_code,age_range_low_num,age_range_high_num,
2021,Unknown,f,None (no bias),Victim Was Stranger,Jail/Prison/Penitentiary/Corrections Facility,Simple Assault,Person,f,t,9,Assault Offenses,A    ,Black or African American,20,35,35 Years Old,All Other,I,JEFFERSON,Jefferson,Louisiana,327882,638,131,220,284,2.6,3.9,9/15/21 0:00,22,Not Hispanic or Latino,None,F,30,40,
2021,Personal Weapons,t,None (no bias),Victim Was Stranger,Commercial/Office Building,Simple Assault,Person,f,t,9,Assault Offenses,A    ,White,10,31,31 Years Old,Attempting Other Arrests,I,NEW BEDFORD,New Bedford,Massachusetts,96346,217,11,17,26,2.4,2.8,5/18/21 0:00,13,Not Hispanic or Latino,None,F,31,,
2021,Personal Weapons,t,None (no bias),Victim Was Stranger,Air/Bus/Train Terminal,Simple Assault,Person,f,t,9,Assault Offenses,A    ,Black or African American,20,28,28 Years Old,All Other,I,BOSTON,Boston,Massachusetts,704758,1873,213,311,319,3.1,3.9,7/23/21 0:00,8,Hispanic or Latino,None,F,28,,
2021,Personal Weapons,t,None (no bias),Victim Was Stranger,School-College/University,Simple Assault,Person,f,t,9,Assault Offenses,A    ,White,10,25,25 Years Old,Responding to Disturbance Call,I,MICH TECHNOLOGICAL UNIVE,Michigan Technological University,Michigan,0,8,0,3,5,0,0,11/6/21 0:00,1,Unknown,None,F,25,,
2021,Other,t,None (no bias),Victim Was Stranger,Residence/Home,Aggravated Assault,Person,f,t,4,Assault Offenses,A    ,Black or African American,20,28,28 Years Old,Responding to Disturbance Call,I,ST. LOUIS,St. Louis,Missouri,295536,934,164,185,254,3.8,5.2,9/26/21 0:00,18,Not Hispanic or Latino,None,F,28,,
2021,Other,t,None (no bias),Victim Was Stranger,Residence/Home,Aggravated Assault,Person,f,t,4,Assault Offenses,A    ,Black or African American,20,28,28 Years Old,Responding to Disturbance Call,I,ST. LOUIS,St. Louis,Missouri,295536,934,164,185,254,3.8,5.2,9/26/21 0:00,18,Not Hispanic or Latino,None,F,28,,
2021,Other,t,None (no bias),Victim Was Stranger,Residence/Home,Aggravated Assault,Person,f,t,4,Assault Offenses,A    ,Black or African American,20,28,28 Years Old,Responding to Disturbance Call,I,ST. LOUIS,St. Louis,Missouri,295536,934,164,185,254,3.8,5.2,9/26/21 0:00,18,Not Hispanic or Latino,None,F,28,,
2021,Personal Weapons,t,None (no bias),Relationship Unknown,Residence/Home,Simple Assault,Person,f,t,9,Assault Offenses,A    ,White,10,33,33 Years Old,Attempting Other Arrests,I,BILOXI,Biloxi,Mississippi,46317,115,12,13,41,2.8,3.9,12/25/21 0:00,21,Not Hispanic or Latino,Minor Injury,F,33,,
2021,Motor Vehicle/Vessel,f,None (no bias),Victim Was Stranger,Highway/Road/Alley/Street/Sidewalk,Aggravated Assault,Person,f,t,4,Assault Offenses,A    ,White,10,30,30 Years Old,Attempting Other Arrests,I,MISSOULA,Missoula,Montana,77852,98,6,15,21,1.5,1.8,3/14/21 0:00,14,Not Hispanic or Latino,Minor Injury,F,30,,
2021,Unknown,f,None (no bias),Relationship Unknown,Jail/Prison/Penitentiary/Corrections Facility,Aggravated Assault,Person,f,t,4,Assault Offenses,A    ,White,10,25,25 Years Old,All Other,I,CATAWBA,Catawba,North Carolina,84958,138,37,11,39,1.8,2.6,6/20/21 0:00,4,Not Hispanic or Latino,Minor Injury,F,25,,
2021,Personal Weapons,t,None (no bias),Relationship Unknown,Parking/Drop Lot/Garage,Simple Assault,Person,f,t,9,Assault Offenses,A    ,White,10,31,31 Years Old,All Other,I,FAYETTEVILLE,Fayetteville,North Carolina,212047,274,38,74,135,1.6,2.5,6/5/21 0:00,23,Not Hispanic or Latino,None,F,31,,
2021,Personal Weapons,t,None (no bias),Victim Was Stranger,Residence/Home,Simple Assault,Person,f,t,9,Assault Offenses,A    ,White,10,30,30 Years Old,Responding to Disturbance Call,I,LAS VEGAS METRO PD,Las Vegas Metropolitan Police Department,Nevada,1685021,3412,421,582,1345,2.4,3.4,6/28/21 0:00,4,Hispanic or Latino,None,F,30,,
2021,None,f,None (no bias),Victim Was Stranger,Residence/Home,Simple Assault,Person,f,t,9,Assault Offenses,A    ,White,10,24,24 Years Old,Responding to Disturbance Call,I,LAS VEGAS METRO PD,Las Vegas Metropolitan Police Department,Nevada,1685021,3412,421,582,1345,2.4,3.4,8/8/21 0:00,0,Not Hispanic or Latino,None,F,24,,
2021,Personal Weapons,t,None (no bias),Victim Was Stranger,Residence/Home,Simple Assault,Person,f,t,9,Assault Offenses,A    ,American Indian or Alaska Native,30,31,31 Years Old,"Handling, Transporting, Custody of Prisoners",I,ROSEBUD TRIBAL,Rosebud Tribal,South Dakota,0,29,1,7,5,0,0,6/1/21 0:00,21,Not Hispanic or Latino,Minor Injury,F,31,,
2021,Personal Weapons,t,None (no bias),Victim Was Stranger,Jail/Prison/Penitentiary/Corrections Facility,Simple Assault,Person,f,t,9,Assault Offenses,A    ,White,10,23,23 Years Old,"Handling, Transporting, Custody of Prisoners",I,BEXAR,Bexar,Texas,281606,494,623,84,422,2.1,5.8,9/22/21 0:00,9,Hispanic or Latino,Minor Injury,F,23,,
2021,Personal Weapons,t,None (no bias),Victim Was Stranger,Residence/Home,Simple Assault,Person,f,t,9,Assault Offenses,A    ,White,10,40,40 Years Old,All Other,I,BRYAN,Bryan,Texas,89423,129,4,14,26,1.6,1.9,8/26/21 0:00,23,Hispanic or Latino,Minor Injury,F,40,,
2021,Personal Weapons,t,None (no bias),Victim was Otherwise Known,Residence/Home,Simple Assault,Person,f,t,9,Assault Offenses,A    ,White,10,35,35 Years Old,Responding to Disturbance Call,I,SEGUIN,Seguin,Texas,30653,43,1,9,20,1.7,2.4,3/13/21 0:00,23,Hispanic or Latino,Minor Injury,F,35,,
2021,Knife/Cutting Instrument,t,None (no bias),Victim Was Stranger,Residence/Home,Aggravated Assault,Person,f,t,4,Assault Offenses,A    ,White,10,34,34 Years Old,Attempting Other Arrests,I,ARLINGTON COUNTY PD,Arlington County Police Department,Virginia,243149,246,31,86,71,1.4,1.8,12/28/21 0:00,20,Not Hispanic or Latino,None,F,34,,
